position,Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,playerId,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
?,84,84,84,84,84,84,81,70,71,68,54,58,84,48,48,84,84,26,26,26,26,26,26,26,18,18,18,36,36,36,36,34,34,34,34,34,1,1,1,1,1,1,1,12,12,12,12,12,12,12,21,21,21,21,21,2,2,2,2,2,2,57,57,57,57,57,52,52,52,52,52
C,6,6,6,6,6,6,5,4,5,4,4,4,6,4,4,6,6,3,3,3,3,3,3,3,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
CB,217,217,217,217,217,217,203,173,156,174,124,134,217,153,153,217,217,123,123,123,123,123,123,123,56,56,56,207,207,207,207,65,65,65,65,65,0,0,0,0,0,0,0,8,8,8,8,8,8,8,71,71,71,71,71,1,1,1,1,1,1,34,34,34,34,34,26,26,26,26,26
DB,355,355,355,355,353,353,313,286,260,279,192,202,355,241,241,355,355,249,249,249,249,249,249,249,151,151,151,323,323,323,323,102,102,102,102,102,1,1,1,1,1,1,1,15,15,15,15,15,15,15,101,101,101,101,101,0,0,0,0,0,0,44,44,44,44,44,48,48,48,48,48
DE,134,134,134,134,134,134,112,109,104,110,89,93,134,102,102,134,134,99,99,99,99,99,99,99,57,57,57,61,61,61,61,11,11,11,11,11,1,1,1,1,1,1,1,4,4,4,4,4,4,4,8,8,8,8,8,2,2,2,2,2,2,12,12,12,12,12,12,12,12,12,12
DL,197,197,197,197,194,195,167,155,139,148,111,111,197,149,149,197,197,167,167,167,167,167,167,167,87,87,87,52,52,52,52,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,15,15,0,0,0,0,0,0,15,15,15,15,15,13,13,13,13,13
DT,71,71,71,71,70,71,63,57,51,54,49,52,71,42,42,71,71,52,52,52,52,52,52,52,31,31,31,26,26,26,26,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,8,8,8,8,8,7,7,7,7,7
FB,28,28,28,28,28,28,26,22,22,22,20,20,28,14,14,28,28,6,6,6,6,6,6,6,5,5,5,2,2,2,2,15,15,15,15,15,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,3,3,3,3,0,0,0,0,0,0,27,27,27,27,27,26,26,26,26,26
G,12,12,12,12,12,12,12,12,10,11,9,9,12,9,9,12,12,9,9,9,9,9,9,9,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
ILB,13,13,13,13,13,13,11,10,7,10,10,10,13,12,12,13,13,7,7,7,7,7,7,7,5,5,5,10,10,10,10,2,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
LB,395,395,395,395,392,392,331,297,266,304,193,201,395,256,256,395,395,259,259,259,259,259,259,259,184,184,184,311,311,311,311,57,57,57,57,57,1,1,1,1,1,1,1,19,19,19,19,19,19,19,50,50,50,50,50,4,4,4,4,4,4,39,39,39,39,39,48,48,48,48,48
LS,12,12,12,12,11,11,11,11,6,11,7,9,12,3,3,12,12,12,12,12,12,12,12,12,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
NT,3,3,3,3,3,3,2,2,1,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OL,155,155,155,155,154,154,127,122,115,121,104,111,155,112,112,155,155,118,118,118,118,118,118,118,14,14,14,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,20,20,20,20,20,33,33,33,33,33
OLB,28,28,28,28,28,28,24,22,21,23,16,16,28,19,19,28,28,17,17,17,17,17,17,17,9,9,9,16,16,16,16,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0,2,2,2,2,2,4,4,4,4,4
OT,20,20,20,20,20,20,14,14,14,14,13,12,20,15,15,20,20,14,14,14,14,14,14,14,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,4,4,4,4,4
P,67,67,67,67,67,67,48,14,8,12,4,5,67,16,16,67,67,23,23,23,23,23,23,23,6,6,6,2,2,2,2,3,3,3,3,3,9,9,9,9,9,9,9,25,25,25,25,25,25,25,1,1,1,1,1,67,67,67,67,67,67,4,4,4,4,4,44,44,44,44,44
PK,63,63,63,63,62,63,32,5,6,5,1,1,63,24,24,63,63,24,24,24,24,24,24,24,6,6,6,2,2,2,2,1,1,1,1,1,61,61,61,61,61,61,61,6,6,6,6,6,6,6,2,2,2,2,2,21,21,21,21,21,21,4,4,4,4,4,16,16,16,16,16
QB,222,222,222,222,221,221,187,176,25,173,156,160,222,139,139,222,222,91,91,91,91,91,91,91,117,117,117,8,8,8,8,13,13,13,13,13,5,5,5,5,5,5,5,222,222,222,222,222,222,222,11,11,11,11,11,45,45,45,45,45,45,106,106,106,106,106,219,219,219,219,219
RB,353,353,353,353,352,353,317,307,248,294,181,187,353,214,214,353,353,164,164,164,164,164,164,164,189,189,189,14,14,14,14,207,207,207,207,207,4,4,4,4,4,4,4,86,86,86,86,86,86,86,62,62,62,62,62,4,4,4,4,4,4,348,348,348,348,348,353,353,353,353,353
S,122,122,122,122,119,119,110,97,88,98,61,63,122,74,74,122,122,80,80,80,80,80,80,80,46,46,46,114,114,114,114,20,20,20,20,20,1,1,1,1,1,1,1,0,0,0,0,0,0,0,19,19,19,19,19,2,2,2,2,2,2,11,11,11,11,11,6,6,6,6,6
TE,234,234,234,234,230,230,184,175,165,171,141,149,234,144,144,234,234,108,108,108,108,108,108,108,72,72,72,5,5,5,5,73,73,73,73,73,2,2,2,2,2,2,2,19,19,19,19,19,19,19,10,10,10,10,10,2,2,2,2,2,2,230,230,230,230,230,73,73,73,73,73
WR,585,585,585,585,580,580,541,512,407,502,357,377,585,348,348,585,585,285,285,285,285,285,285,285,240,240,240,46,46,46,46,309,309,309,309,309,5,5,5,5,5,5,5,154,154,154,154,154,154,154,281,281,281,281,281,5,5,5,5,5,5,582,582,582,582,582,416,416,416,416,416
